,sum.w,(Intercept),z$religious_,medinc,z$ACS5year_1,z$ACR_5yea_3,(Intercept)_se,z$religious__se,medinc_se,z$ACS5year_1_se,z$ACR_5yea_3_se,gwr.e,pred,pred.se,localR2,(Intercept)_se_EDF,z$religious__se_EDF,medinc_se_EDF,z$ACS5year_1_se_EDF,z$ACR_5yea_3_se_EDF,pred.se.1,X,Y
11,25.3277652,31.17588692,0.227780113,-0.055645141,0.354214651,0.942143426,8.875749234,0.129262239,0.076780033,0.179198418,0.406030953,1.760853626,58.81231181,2.523763708,0.359237154,9.197990361,0.133955207,0.079567593,0.185704359,0.420772229,2.615390954,387215.8763,3816690.371
12,25.08535506,28.82229471,0.242182814,-0.028615215,0.346325636,1.126151337,9.04252435,0.123406349,0.078197626,0.180716441,0.424071574,24.19435354,52.05198077,2.221335673,0.35637322,9.370820381,0.127886715,0.081036653,0.187277495,0.439467829,2.301983029,385374.6163,3762534.892
13,24.9978914,28.81806978,0.247632651,-0.029265232,0.330992365,1.162435414,9.229777589,0.126514475,0.079253325,0.184202883,0.434991453,-7.716439929,69.51066829,3.715758327,0.349958281,9.564871998,0.131107684,0.08213068,0.190890515,0.450784163,3.850661885,408361.8771,3772421.869
14,23.58317176,28.87824648,0.253034614,-0.035174385,0.309746863,1.236507624,9.627705197,0.132111143,0.081300751,0.190633227,0.456124435,-6.67619047,51.7083563,2.776194111,0.343934243,9.977246683,0.136907543,0.084252439,0.197554317,0.472684395,2.876986044,439511.8101,3780474.175
15,22.39248906,25.89054637,0.271669147,-0.010011213,0.320618341,1.41475648,10.13767539,0.135534795,0.084927118,0.201475416,0.499375228,14.50731673,61.55445933,2.532925962,0.350012738,10.50573175,0.140455494,0.088010465,0.208790141,0.517505443,2.624885852,438083.5703,3732999.654
16,26.57830608,28.54832794,0.237256904,-0.038267341,0.369267988,1.137057887,8.867664529,0.118721157,0.076138265,0.173593157,0.409095922,-2.234575025,61.21491492,1.761587384,0.382233364,9.189612135,0.123031423,0.078902525,0.179895595,0.423948474,1.825543214,385538.4594,3729682.183
17,23.7132999,26.47055711,0.254682312,-0.028110758,0.36756691,1.30300904,9.595051187,0.126033207,0.080821214,0.184379837,0.448839839,6.989625284,64.04921071,3.356000089,0.387135046,9.943407143,0.130608943,0.083755493,0.191073893,0.465135326,3.477842339,416955.8401,3686256.964
18,25.4006459,26.90696155,0.247310207,-0.05040135,0.388222394,1.287051265,9.430046812,0.123817243,0.078615471,0.177574653,0.431810826,-2.208117916,58.31565737,3.303585206,0.415615942,9.772412154,0.128312526,0.081469669,0.184021641,0.447488061,3.423524491,443437.976,3678220.281
19,23.15139424,25.75355955,0.259162642,-0.059628068,0.39179092,1.400383876,10.02851294,0.130020252,0.082285128,0.186532638,0.465171869,-7.464828782,56.8191313,2.062073715,0.42916105,10.39260607,0.134740741,0.085272555,0.193304854,0.482060303,2.136938939,478811.6515,3675057.846
20,22.83209782,27.32106744,0.239113747,-0.115501565,0.435427822,1.360764724,10.03929996,0.128348767,0.081407848,0.180836798,0.444129148,1.186430649,63.54376952,4.195097055,0.4968592,10.40378472,0.133008571,0.084363424,0.187402221,0.460253609,4.347403387,537562.5317,3670371.407
21,29.86890842,32.3321572,0.167186367,-0.164328768,0.50655273,1.059256782,8.417266303,0.113942666,0.069826654,0.151737813,0.34618945,3.809025415,64.07208677,4.533371547,0.579237202,8.722861844,0.118079445,0.072361766,0.157246775,0.358758133,4.697959203,614796.9996,3673159.316
